,post_rank,author,age,score,post_link,title
0,1.,Daniel_sk,14 hours ago,1184 points,EU Draft Council Declaration Against Encryption [pdf],EU Draft Council Declaration Against Encryption [pdf]
1,2.,jasim,5 hours ago,138 points,The Tao of Programming (1987),The Tao of Programming (1987)
2,3.,zwbetz,7 hours ago,200 points,Attention Is My Most Valuable Asset for Productivity as a Software Developer,Attention Is My Most Valuable Asset for Productivity as a Software Developer
3,4.,dariosalvi78,13 hours ago,472 points,AltStore: An alternative app store for non-jailbroken iOS devices,AltStore: An alternative app store for non-jailbroken iOS devices
4,5.,ridddle,5 hours ago,92 points,Cool Machine Learning Books,Cool Machine Learning Books
5,6.,ingve,3 hours ago,337 points,No More Free Work from Marak: Pay Me or Fork This,No More Free Work from Marak: Pay Me or Fork This
6,7.,todsacerdoti,2 hours ago,13 points,XuanTie C906 based Allwinner RISC-V processor to power $12 Linux SBC's,XuanTie C906 based Allwinner RISC-V processor to power $12 Linux SBC's
7,8.,Osiris30,4 hours ago,45 points,I'm going to experiment by being Blind and Alone for 24 Hours,I'm going to experiment by being Blind and Alone for 24 Hours
8,9.,tbodt,14 hours ago,630 points,About iSH’s pending removal from the App Store,About iSH’s pending removal from the App Store
9,10.,svikashk,6 hours ago,98 points,A fun website that simulates fluid,A fun website that simulates fluid
10,11.,sethetter,5 hours ago,64 points,Start with pen and paper,Start with pen and paper
11,12.,,3 hours ago,,Opvia (YC S20) Is Hiring,Opvia (YC S20) Is Hiring
12,13.,syrusakbary,3 hours ago,73 points,Apple requests to remove WebAssembly support in a-Shell,Apple requests to remove WebAssembly support in a-Shell
13,14.,3131s,2 hours ago,93 points,Dirt Poor: Have Fruits and Vegetables Become Less Nutritious? (2011),Dirt Poor: Have Fruits and Vegetables Become Less Nutritious? (2011)
14,15.,vitplister,10 hours ago,165 points,Looking for Voter Fraud (In Old Elections) with Data Visualization,Looking for Voter Fraud (In Old Elections) with Data Visualization
15,16.,Tomte,5 hours ago,17 points,Composing Programs,Composing Programs
16,17.,opsdisk,11 hours ago,115 points,Restoring a 37 Year-Old IBM F Mechanical Keyboard,Restoring a 37 Year-Old IBM F Mechanical Keyboard
17,18.,bitcynth,6 hours ago,28 points,BGP Lego Bricks,BGP Lego Bricks
18,19.,asaaki,4 hours ago,26 points,I wrote JavaScript to avoid JavaScript,I wrote JavaScript to avoid JavaScript
19,20.,polm23,11 hours ago,101 points,Parsing the Infamous Japanese Postal CSV,Parsing the Infamous Japanese Postal CSV
20,21.,elsewhen,9 hours ago,289 points,I now have an Oculus paperweight,I now have an Oculus paperweight
21,22.,ingve,2 hours ago,9 points,Structured Concurrency,Structured Concurrency
22,23.,creolabs,5 hours ago,13 points,Embed Gravity programming language into your code,Embed Gravity programming language into your code
23,24.,Anon84,12 hours ago,72 points,Understanding Statistical Power and Significance Testing,Understanding Statistical Power and Significance Testing
24,25.,sbmthakur,10 hours ago,72 points,P.L. Deshpande,P.L. Deshpande
25,26.,prostoalex,18 hours ago,332 points,Stopping some fishing would increase overall catches,Stopping some fishing would increase overall catches
26,27.,robin_reala,12 hours ago,59 points,Reverse-engineering the carry-lookahead circuit in the Intel 8008 processor,Reverse-engineering the carry-lookahead circuit in the Intel 8008 processor
27,28.,teruakohatu,13 hours ago,66 points,Soviet Lun-Class Ekranoplan Ground Effect Vehicle,Soviet Lun-Class Ekranoplan Ground Effect Vehicle
28,29.,jfdi,11 hours ago,60 points,Increment.me: easily get anonymous feedback on anything,Increment.me: easily get anonymous feedback on anything
29,30.,rajlego,11 hours ago,68 points,Becoming a magician (2018),Becoming a magician (2018)
30,31.,krayonatan,5 hours ago,22 points,How does the event loop work in JavaScript? [video],How does the event loop work in JavaScript? [video]
31,32.,alhirzel,9 hours ago,20 points,"Path Tracing with Babylon, Background and Implementation","Path Tracing with Babylon, Background and Implementation"
32,33.,pcr910303,7 hours ago,24 points,Chasing the Pixel-Perfect Dream,Chasing the Pixel-Perfect Dream
33,34.,Petiver,14 hours ago,49 points,When the English Witnessed Battles in the Sky,When the English Witnessed Battles in the Sky
34,35.,ricardo81,1 hour ago,9 points,Firefox uses Google geo API by default,Firefox uses Google geo API by default
35,36.,fluctuation,8 hours ago,34 points,Guess the Correlation,Guess the Correlation
36,37.,jelliclesfarm,9 hours ago,17 points,"In Appalachia, a Plan to Save Wild Ginseng","In Appalachia, a Plan to Save Wild Ginseng"
37,38.,nairboon,15 hours ago,139 points,RansomEXX Trojan attacks Linux systems,RansomEXX Trojan attacks Linux systems
38,39.,slater,16 hours ago,866 points,Alex Trebek has died,Alex Trebek has died
39,40.,azhenley,18 hours ago,181 points,Making a programming language using Rust,Making a programming language using Rust
40,41.,distalx,22 hours ago,339 points,Taking screenshots isn't allowed by the app after upgrading to Android 11,Taking screenshots isn't allowed by the app after upgrading to Android 11
41,42.,tmabraham,8 hours ago,14 points,JupyterCon 2020: Code of Conduct Reports,JupyterCon 2020: Code of Conduct Reports
42,43.,tyoma,4 hours ago,4 points,Benchmarking theorem provers for programming tasks: yices vs. z3,Benchmarking theorem provers for programming tasks: yices vs. z3
43,44.,lelf,8 hours ago,23 points,AMD/aocl-libm-ose: AMD libm,AMD/aocl-libm-ose: AMD libm
44,45.,mmm_grayons,21 hours ago,220 points,Transmit Radio Signals via Ethernet,Transmit Radio Signals via Ethernet
45,46.,LopRabbit,3 hours ago,11 points,Yahoo Mail discontinues automatic email forwarding for free users,Yahoo Mail discontinues automatic email forwarding for free users
46,47.,denvaar,18 hours ago,161 points,Problem Solving Techniques,Problem Solving Techniques
47,48.,panny,3 hours ago,8 points,Vote rigging: How to spot the tell-tale signs (2016),Vote rigging: How to spot the tell-tale signs (2016)
48,49.,respinal,11 hours ago,74 points,Only the richest ancient Athenians paid taxes – and they bragged about it,Only the richest ancient Athenians paid taxes – and they bragged about it
49,50.,BossingAround,21 hours ago,246 points,Clues to identify a destructive leader,Clues to identify a destructive leader
50,51.,lelf,16 hours ago,113 points,LLVM Clang 12 Merges Support For x86_64 Microarchitecture Levels,LLVM Clang 12 Merges Support For x86_64 Microarchitecture Levels
51,52.,jaemoe,23 hours ago,236 points,One Week of NixOS,One Week of NixOS
52,53.,lihaoyi,8 hours ago,8 points,Build Your Own Programming Language with Scala,Build Your Own Programming Language with Scala
53,54.,stjo,9 hours ago,8 points,Mapping the Underground: Supervised Discovery of Cybercrime Supply Chains [pdf],Mapping the Underground: Supervised Discovery of Cybercrime Supply Chains [pdf]
54,55.,samberry,12 hours ago,40 points,Inexcusable insecurity in Windows,Inexcusable insecurity in Windows
55,56.,RyanShook,18 hours ago,200 points,"Review: A Counterfeit, $100 iPhone X","Review: A Counterfeit, $100 iPhone X"
56,57.,thunderbong,1 day ago,241 points,DaVinci Resolve – A high-end video editing/post-production software program,DaVinci Resolve – A high-end video editing/post-production software program
57,58.,noyesno,18 hours ago,30 points,The Last Days of Mankind,The Last Days of Mankind
58,59.,scastiel,19 hours ago,120 points,Show HN: My Side Project Rocks – Share and discover side projects,Show HN: My Side Project Rocks – Share and discover side projects
59,60.,sharjeelsayed,1 day ago,245 points,PostgreSQL Configuration for Humans,PostgreSQL Configuration for Humans
60,61.,josephpmay,17 hours ago,109 points,Big Ass Fan’s Clean Air System,Big Ass Fan’s Clean Air System
61,62.,parsecs,12 hours ago,14 points,I Took a Break from Ham Radio and Why I Came Back,I Took a Break from Ham Radio and Why I Came Back
62,63.,protontypes,21 hours ago,114 points,Sustainable Transport Planning with R,Sustainable Transport Planning with R
63,64.,bitcynth,19 hours ago,28 points,BGP Lego Bricks,BGP Lego Bricks
64,65.,dplgk,19 hours ago,78 points,"macOS file diff app, Kaleidoscope, acquired by Letter Opener GmbH","macOS file diff app, Kaleidoscope, acquired by Letter Opener GmbH"
65,66.,Tomte,2 hours ago,4 points,Apple puts major supplier Pegatron on probation for labor violations,Apple puts major supplier Pegatron on probation for labor violations
66,67.,ffpip,1 day ago,434 points,SpotifyKeyDumper – Dump song decryption keys from the Windows Spotify client,SpotifyKeyDumper – Dump song decryption keys from the Windows Spotify client
67,68.,desilentio,22 hours ago,42 points,A new model-F keyboard,A new model-F keyboard
68,69.,nl5887,1 day ago,39 points,Sinter: A user-mode application authorization system for macOS written in Swift,Sinter: A user-mode application authorization system for macOS written in Swift
69,70.,maguay,19 hours ago,75 points,The accidental genius of Yo,The accidental genius of Yo
70,71.,giuliomagnifico,17 hours ago,59 points,How active noise cancellation for automotive works,How active noise cancellation for automotive works
71,72.,justiceforsaas,10 hours ago,5 points,15 Acquisition Channels I Discovered from Reading 479 Founder Interviews,15 Acquisition Channels I Discovered from Reading 479 Founder Interviews
72,73.,pseudolus,9 hours ago,28 points,"Bentley to Retire Roaring 12-Cylinder Engines, Go Electric","Bentley to Retire Roaring 12-Cylinder Engines, Go Electric"
73,74.,gbrindisi,18 hours ago,11 points,Google Cloud IAM for Security Teams,Google Cloud IAM for Security Teams
74,75.,elvis70,15 hours ago,44 points,Computer Crime: Pirates and Phone Phreaks (1983),Computer Crime: Pirates and Phone Phreaks (1983)
75,76.,jensneuse,1 day ago,448 points,Why not use GraphQL?,Why not use GraphQL?
76,77.,jimiray,1 day ago,270 points,Mutt 2.0 Release Notes,Mutt 2.0 Release Notes
77,78.,petepete,1 day ago,295 points,WinApps: Run Windows apps in Linux as if they were a part of the native OS,WinApps: Run Windows apps in Linux as if they were a part of the native OS
78,79.,todsacerdoti,12 hours ago,5 points,Getting Started with VMware ESXi on ARM with a Raspberry Pi,Getting Started with VMware ESXi on ARM with a Raspberry Pi
79,80.,URfejk,19 hours ago,117 points,App lets banks lock your financed phone if you default on payment,App lets banks lock your financed phone if you default on payment
80,81.,rrao84,1 day ago,215 points,"Stack Videos Horizontally, Vertically, in a Grid With FFmpeg","Stack Videos Horizontally, Vertically, in a Grid With FFmpeg"
81,82.,pseudolus,15 hours ago,9 points,What it takes to dismantle and move a 40-foot whale skeleton,What it takes to dismantle and move a 40-foot whale skeleton
82,83.,tjalfi,1 day ago,40 points,Why TCP Timers Don’t Work Well (1986) [pdf],Why TCP Timers Don’t Work Well (1986) [pdf]
83,84.,Inityx,1 day ago,229 points,Submarine Cable Map,Submarine Cable Map
84,85.,ingve,1 day ago,73 points,Ubooquity: Free home server for your comics and ebooks library,Ubooquity: Free home server for your comics and ebooks library
85,86.,mrbbk,20 hours ago,17 points,Wav2Lip: Accurately Lip-Sync Videos to Any Speech,Wav2Lip: Accurately Lip-Sync Videos to Any Speech
86,87.,cbmuser,16 hours ago,41 points,QEMU 680x0 support [video],QEMU 680x0 support [video]
87,88.,abouelatta,18 hours ago,16 points,Sketch: From 1 to One Million users,Sketch: From 1 to One Million users
88,89.,gurjeet,3 hours ago,3 points,A Batter Visualization of Spacetime and General Relativity,A Batter Visualization of Spacetime and General Relativity
89,90.,iamacyborg,1 day ago,352 points,Marketers are addicted to bad data,Marketers are addicted to bad data
90,91.,aberoham,15 hours ago,18 points,We Pay for Software,We Pay for Software
91,92.,jelliclesfarm,9 hours ago,17 points,It can cost over $10M and 22 years to create a new Apple variety.',It can cost over $10M and 22 years to create a new Apple variety.'
92,93.,theonemind,17 hours ago,45 points,"Finally, a Problem That Only Quantum Computers Will Ever Be Able to Solve (2018)","Finally, a Problem That Only Quantum Computers Will Ever Be Able to Solve (2018)"
93,94.,xoxoy,12 hours ago,30 points,Ask HN: How do you regain motivation after achieving financial success?,Ask HN: How do you regain motivation after achieving financial success?
94,95.,rustoo,21 hours ago,58 points,Honour among thieves: the study of a cybercrime marketplace in action,Honour among thieves: the study of a cybercrime marketplace in action
95,96.,educated_idiot,1 day ago,151 points,Show HN: Baller ToDo – a no-list todo app,Show HN: Baller ToDo – a no-list todo app
96,97.,mikrosom,20 hours ago,92 points,Slack stores browser cookies without user consent,Slack stores browser cookies without user consent
97,98.,mmazzarolo,17 hours ago,77 points,Using Alfred to open your GitHub repositories in the browser,Using Alfred to open your GitHub repositories in the browser
98,99.,graposaymaname,1 day ago,138 points,Send Payments in India with WhatsApp,Send Payments in India with WhatsApp
99,100.,tomas789,16 hours ago,9 points,Algorithms behind trading: Order matching (CME),Algorithms behind trading: Order matching (CME)
100,101.,app4soft,19 hours ago,52 points,Turning a floppy disk in to a Starship (2013),Turning a floppy disk in to a Starship (2013)
101,102.,zeristor,17 hours ago,42 points,Flying squirrels glow pink thanks to fluorescence,Flying squirrels glow pink thanks to fluorescence
102,103.,Tomte,1 day ago,173 points,Build your own professional-grade audio amp on the sort-of cheap (2018),Build your own professional-grade audio amp on the sort-of cheap (2018)
103,104.,asplake,1 day ago,57 points,The foul-smelling fuel that could power big ships,The foul-smelling fuel that could power big ships
104,105.,bored_hacker,10 hours ago,4 points,Onboarding is not a one way street,Onboarding is not a one way street
