title,published_date,link
#289 Discovering exoplanets with Python,"Mon, 09 Nov 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/289/discovering-exoplanets-with-python
#288 10 tips to move from Excel to Python,"Sat, 31 Oct 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/288/10-tips-to-move-from-excel-to-python
"#287 Testing without dependencies, mocking in Python","Wed, 21 Oct 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/287/testing-without-dependencies-mocking-in-python
#286 Python and ML at NASA Jet Propulsion Laboratory (JPL),"Fri, 16 Oct 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/286/python-and-ml-at-nasa-jet-propulsion-laboratory-jpl
#285 Dask as a Platform Service with Coiled,"Fri, 09 Oct 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/285/dask-as-a-platform-service-with-coiled
#284 Modern and fast APIs with FastAPI,"Sun, 04 Oct 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/284/modern-and-fast-apis-with-fastapi
"#283 Web scraping, the 2020 edition","Wed, 23 Sep 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/283/web-scraping-the-2020-edition
#282 pre-commit framework,"Thu, 17 Sep 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/282/pre-commit-framework
#281 Python in Car Racing,"Wed, 09 Sep 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/281/python-in-car-racing
#280 Python and AI in Journalism,"Sat, 05 Sep 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/280/python-and-ai-in-journalism
#279 Modern Python Developer's Toolkit,"Sat, 29 Aug 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/279/modern-python-developers-toolkit
#278 Teach kids Python with real programming and fun games at Code Combat,"Fri, 21 Aug 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/278/teach-kids-python-with-real-programming-and-fun-games-at-code-combat
#277 10 tips every Django developer should know,"Mon, 10 Aug 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/277/10-tips-every-django-developer-should-know
#276 Geekout: Life in the solar system and beyond,"Thu, 06 Aug 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/276/geekout-life-in-the-solar-system-and-beyond
#275 Beautiful Pythonic Refactorings,"Sat, 01 Aug 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/275/beautiful-pythonic-refactorings
#274 Profiling data science code with FIL,"Fri, 24 Jul 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/274/profiling-data-science-code-with-fil
#273 CoCalc: A fully colloborative notebook development environment,"Sat, 18 Jul 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/273/cocalc-a-fully-colloborative-notebook-development-environment
#272 No IoT things in hand? Simulate them with Device Simulator Express,"Sun, 12 Jul 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/272/no-iot-things-in-hand-simulate-them-with-device-simulator-express
"#271 Unlock the mysteries of time, Python's datetime that is!","Sat, 04 Jul 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/271/unlock-the-mysteries-of-time-pythons-datetime-that-is
"#270 Python in supply chains: oil rigs, rockets, and lettuce","Thu, 25 Jun 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/270/python-in-supply-chains-oil-rigs-rockets-and-lettuce
#269 HoloViz - a suite of tools for Python visualization,"Fri, 19 Jun 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/269/holoviz-a-suite-of-tools-for-python-visualization
#268 Analyzing dozens of notebook environments,"Sat, 13 Jun 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/268/analyzing-dozens-of-notebook-environments
#267 15 amazing pytest plugins,"Sat, 06 Jun 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/267/15-amazing-pytest-plugins
"#266 Refactoring your code, like magic with Sourcery","Fri, 29 May 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/266/refactoring-your-code-like-magic-with-sourcery
#265 Why is Python slow?,"Tue, 19 May 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/265/why-is-python-slow
#264 10 tips every Flask developer should know,"Tue, 12 May 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/264/10-tips-every-flask-developer-should-know
#263 SEO for developers,"Wed, 06 May 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/263/seo-for-developers
#262 Build a career in data science,"Fri, 01 May 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/262/build-a-career-in-data-science
#261 Monitoring and auditing machine learning,"Sat, 25 Apr 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/261/monitoring-and-auditing-machine-learning
#260 From basic script to interactive data sci app with Streamlit,"Sat, 18 Apr 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/260/from-basic-script-to-interactive-data-sci-app-with-streamlit
#259 From Academia to Tech Industry and Python,"Thu, 09 Apr 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/259/from-academia-to-tech-industry-and-python
#258 Thriving in a remote developer environment ,"Sat, 04 Apr 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/258/thriving-in-a-remote-developer-environment
"#257 Exploring the galaxy with the fastest supercomputer, Python, and radio astronomy","Sat, 28 Mar 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/257/exploring-the-galaxy-with-the-fastest-supercomputer-python-and-radio-astronomy
#256 Click to run your notebook with Binder,"Fri, 20 Mar 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/256/click-to-run-your-notebook-with-binder
#255 Talking to cars with Python,"Sat, 14 Mar 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/255/talking-to-cars-with-python
#254 A Python mentorship story,"Fri, 06 Mar 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/254/a-python-mentorship-story
#253 Moon base geekout,"Tue, 25 Feb 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/253/moon-base-geekout
#252 What scientific computing can learn from CS,"Fri, 21 Feb 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/252/what-scientific-computing-can-learn-from-cs
#251 Building and UX Testing Azure's Python SDK,"Thu, 13 Feb 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/251/building-and-ux-testing-azures-python-sdk
#250 Capture over 400x C02 as trees with AI and Python,"Sat, 08 Feb 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/250/capture-over-400x-c02-as-trees-with-ai-and-python
#249 Capture the Staff of Pythonic Knowledge in TwilioQuest,"Thu, 30 Jan 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/249/capture-the-staff-of-pythonic-knowledge-in-twilioquest
#248 Climate change and your Python code,"Fri, 24 Jan 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/248/climate-change-and-your-python-code
#247 Solo maintainer of open-source in academia,"Thu, 16 Jan 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/247/solo-maintainer-of-open-source-in-academia
#246 Practices of the Python Pro,"Thu, 09 Jan 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/246/practices-of-the-python-pro
#245 Python packaging landscape in 2020,"Fri, 03 Jan 2020 00:00:00 -0800",https://talkpython.fm/episodes/show/245/python-packaging-landscape-in-2020
#244 Top 10 Real Python Articles of 2019,"Fri, 27 Dec 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/244/top-10-real-python-articles-of-2019
"#243 Python on Windows is OK, actually","Tue, 17 Dec 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/243/python-on-windows-is-ok-actually
#242 Your education will be live-streamed,"Wed, 11 Dec 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/242/your-education-will-be-live-streamed
#241 Opal: Full stack health care apps,"Sat, 07 Dec 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/241/opal-full-stack-health-care-apps
#240 A guided tour of the CPython source code,"Wed, 27 Nov 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/240/a-guided-tour-of-the-cpython-source-code
#239 Bayesian foundations,"Sat, 23 Nov 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/239/bayesian-foundations
#238 Collaborative data science with Gigantum,"Thu, 14 Nov 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/238/collaborative-data-science-with-gigantum
#237 A gut feeling about Python,"Wed, 06 Nov 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/237/a-gut-feeling-about-python
#236 Scaling data science across Python and R,"Tue, 29 Oct 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/236/scaling-data-science-across-python-and-r
#235 Python in your Browser with Skulpt,"Wed, 23 Oct 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/235/python-in-your-browser-with-skulpt
#234 Awesome Python Applications,"Tue, 15 Oct 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/234/awesome-python-applications
#233 The Masonite Python Web Framework,"Thu, 10 Oct 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/233/the-masonite-python-web-framework
#232 Become a robot developer with Python,"Fri, 04 Oct 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/232/become-a-robot-developer-with-python
#231 Advice for freelancing with Python,"Wed, 25 Sep 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/231/advice-for-freelancing-with-python
#230 Python in digital humanities research,"Wed, 18 Sep 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/230/python-in-digital-humanities-research
#229 Building advanced Pythonic interviews with docassemble,"Thu, 12 Sep 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/229/building-advanced-pythonic-interviews-with-docassemble
#228 Hunting bugs and tech startups with Python,"Wed, 04 Sep 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/228/hunting-bugs-and-tech-startups-with-python
#227 Maintainable data science: Tips for non-developers,"Wed, 28 Aug 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/227/maintainable-data-science-tips-for-non-developers
#226 Building Flask APIs for data scientists,"Fri, 23 Aug 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/226/building-flask-apis-for-data-scientists
#225 Can subinterpreters free us from Python's GIL?,"Mon, 12 Aug 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/225/can-subinterpreters-free-us-from-pythons-gil
#224 12 lessons from 100 days of web,"Mon, 05 Aug 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/224/12-lessons-from-100-days-of-web
#223 Fun and Easy 2D Games with Python,"Tue, 30 Jul 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/223/fun-and-easy-2d-games-with-python
#222 Interactive graphs with Bokeh and Python,"Fri, 26 Jul 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/222/interactive-graphs-with-bokeh-and-python
#221 Empowering developers by embedding Python,"Thu, 18 Jul 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/221/empowering-developers-by-embedding-python
#220 Machine Learning in the cloud with Azure ML,"Fri, 12 Jul 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/220/machine-learning-in-the-cloud-with-azure-ml
#219 Take a Python tour of duty at the United States Digital Service,"Fri, 05 Jul 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/219/take-a-python-tour-of-duty-at-the-united-states-digital-service
#218 Serverless Python functions in Azure,"Tue, 25 Jun 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/218/serverless-python-functions-in-azure
#217 Notebooks vs data science-enabled scripts,"Fri, 21 Jun 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/217/notebooks-vs-data-science-enabled-scripts
#216 Digging into Visual Studio Code,"Fri, 14 Jun 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/216/digging-into-visual-studio-code
#215 The software powering Talk Python courses and podcast,"Thu, 06 Jun 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/215/the-software-powering-talk-python-courses-and-podcast
#214 Dive into CPython 3.8 and beyond,"Fri, 31 May 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/214/dive-into-cpython-3.8-and-beyond
#213 WebAssembly and CPython,"Sat, 25 May 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/213/webassembly-and-cpython
#212 Python in Web Assembly with Pyodide,"Fri, 17 May 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/212/python-in-web-assembly-with-pyodide
#211 Classic CS problems in Python,"Sat, 11 May 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/211/classic-cs-problems-in-python
#210 Making the most out of in-person training,"Thu, 02 May 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/210/making-the-most-out-of-in-person-training
#209 Inside Python's new governance model,"Sun, 28 Apr 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/209/inside-pythons-new-governance-model
"#208 Packaging, Making the most of PyCon, and more","Sun, 21 Apr 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/208/packaging-making-the-most-of-pycon-and-more
#207 Parallelizing computation with Dask,"Sun, 14 Apr 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/207/parallelizing-computation-with-dask
#206 Running Django in Production,"Sat, 06 Apr 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/206/running-django-in-production
#205 Beginners and Experts Panel,"Tue, 02 Apr 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/205/beginners-and-experts-panel
"#204 StaticFrame, like Pandas but safer","Thu, 21 Mar 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/204/staticframe-like-pandas-but-safer
#203 Beginners and Experts in Software Development,"Wed, 13 Mar 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/203/beginners-and-experts-in-software-development
#202 Building a software business,"Sat, 09 Mar 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/202/building-a-software-business
#201 Choosing JupyterHub and Python over MATLAB,"Wed, 27 Feb 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/201/choosing-jupyterhub-and-python-over-matlab
#200 Escaping Excel Hell with Python and Pandas,"Thu, 21 Feb 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/200/escaping-excel-hell-with-python-and-pandas
#199 Automate all the things with Python at Zapier,"Thu, 14 Feb 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/199/automate-all-the-things-with-python-at-zapier
#198 Catching up with the Anaconda distribution,"Sat, 09 Feb 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/198/catching-up-with-the-anaconda-distribution
#197 Modern Python Standard Library Cookbook,"Sat, 02 Feb 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/197/modern-python-standard-library-cookbook
#196 Datalore: Hosted smart notebooks,"Wed, 23 Jan 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/196/datalore-hosted-smart-notebooks
#195 Teaching Python at Apple,"Sun, 20 Jan 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/195/teaching-python-at-apple
#194 Learning (and teaching) Python in a vacuum,"Fri, 11 Jan 2019 00:00:00 -0800",https://talkpython.fm/episodes/show/194/learning-and-teaching-python-in-a-vacuum
#193 Data Science Year in Review 2018 Edition,"Mon, 31 Dec 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/193/data-science-year-in-review-2018-edition
#192 Python Year in Review 2018 Edition,"Wed, 26 Dec 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/192/python-year-in-review-2018-edition
#191 Python's journey at Microsoft,"Tue, 18 Dec 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/191/pythons-journey-at-microsoft
#190 Teaching Django,"Tue, 11 Dec 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/190/teaching-django
#189 War Stories of the Developer Evangelists,"Fri, 07 Dec 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/189/war-stories-of-the-developer-evangelists
#188 Async for the Pythonic web with Sanic,"Sat, 01 Dec 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/188/async-for-the-pythonic-web-with-sanic
#187 Secure all the things with HubbleStack,"Tue, 20 Nov 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/187/secure-all-the-things-with-hubblestack
#186 100 Days of Python in a Magical Universe,"Fri, 16 Nov 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/186/100-days-of-python-in-a-magical-universe
#185 Creating a Python 3 Culture at Facebook,"Fri, 09 Nov 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/185/creating-a-python-3-culture-at-facebook
#184 Teaching Python with BBC micro:bit,"Fri, 02 Nov 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/184/teaching-python-with-bbc-micro-bit
#183 Qt for Python,"Wed, 24 Oct 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/183/qt-for-python
#182 Picture Python at Shutterfly,"Wed, 17 Oct 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/182/picture-python-at-shutterfly
#181 30 amazing Python projects,"Fri, 12 Oct 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/181/30-amazing-python-projects
#180 What's new in Python 3.7 and beyond,"Tue, 02 Oct 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/180/whats-new-in-python-3.7-and-beyond
#179 Python Language Summit 2018,"Wed, 26 Sep 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/179/python-language-summit-2018
#178 Coverage.py,"Fri, 21 Sep 2018 00:00:00 -0800",https://talkpython.fm/episodes/show/178/coverage.py
