votes,views,question,question_page_link,post_excerpt,tags
220,"25,610 views",How to make good reproducible pandas examples,https://stackoverflow.com/questions/20109391/how-to-make-good-reproducible-pandas-examples,"
            Having spent a decent amount of time watching both the r and pandas tags on SO, the impression that I get is that pandas questions are less likely to contain reproducible data. This is something that ...
        ","python,pandas"
681,"284,189 views",How to test multiple variables against a value?,https://stackoverflow.com/questions/15112125/how-to-test-multiple-variables-against-a-value,"
            I'm trying to make a function that will compare multiple variables to an integer and output a string of three letters. I was wondering if there was a way to translate this into Python. So say:

x = 0
...
        ","python,if-statement,comparison,match,boolean-logic"
606,"585,965 views",Asking the user for input until they give a valid response,https://stackoverflow.com/questions/23294658/asking-the-user-for-input-until-they-give-a-valid-response,"
            I am writing a program that accepts an input from the user.

#note: Python 2.7 users should use `raw_input`, the equivalent of 3.X's `input`
age = int(input(""Please enter your age: ""))
if age >= 18:...
        ","python,validation,loops,python-3.x,user-input"
3539,"1,912,544 views",Understanding slice notation,https://stackoverflow.com/questions/509211/understanding-slice-notation,"
            I need a good explanation (references are a plus) on Python's slice notation. 

To me, this notation needs a bit of picking up. 

It looks extremely powerful, but I haven't quite got my head around it....
        ","python,list,slice,iterable"
698,"39,077 views",List of lists changes reflected across sublists unexpectedly,https://stackoverflow.com/questions/240178/list-of-lists-changes-reflected-across-sublists-unexpectedly,"
            I needed to create a list of lists in Python, so I typed the following:  

myList = [[1] * 4] * 3
The list looked like this:  

[[1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1, 1]]  
Then I changed one of the ...
        ","python,list,nested-lists,mutable"
2709,"166,264 views",“Least Astonishment” and the Mutable Default Argument,https://stackoverflow.com/questions/1132941/least-astonishment-and-the-mutable-default-argument,"
            Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue:

def foo(a=[]):
    a.append(5)
    return a
Python novices would expect this function to always ...
        ","python,language-design,default-parameters,least-astonishment"
391,"157,821 views",How do I create variable variables?,https://stackoverflow.com/questions/1373164/how-do-i-create-variable-variables,"
            How do I accomplish variable variables in Python? 

Here is an elaborative manual entry, for instance: Variable variables

I have heard this is a bad idea in general though, and it is a security hole ...
        ","python,variable-variables"
2708,"1,783,563 views",List changes unexpectedly after assignment. How do I clone or copy it to prevent this?,https://stackoverflow.com/questions/2612802/list-changes-unexpectedly-after-assignment-how-do-i-clone-or-copy-it-to-prevent,"
            While using new_list = my_list, any modifications to new_list changes my_list everytime. Why is this, and how can I clone or copy the list to prevent it?
        ","python,list,copy,clone"
402,"32,633 views",How to pivot a dataframe?,https://stackoverflow.com/questions/47152691/how-to-pivot-a-dataframe,"
            What is pivot?
How do I pivot?
Is this a pivot?
Long format to wide format?

I've seen a lot of questions that ask about pivot tables.  Even if they don't know that they are asking about pivot tables, ...
        ","python,pandas,group-by,pivot,pandas-groupby"
462,"114,802 views",Pandas Merging 101,https://stackoverflow.com/questions/53645882/pandas-merging-101,"
            How to perform a (INNER| (LEFT|RIGHT|FULL) OUTER) JOIN with pandas?
How do I add NaNs for missing rows after merge?
How do I get rid of NaNs after merging?
Can I merge on the index?
Cross join with ...
        ","python,pandas,join,merge"
3692,"2,460,650 views",How to make a flat list out of list of lists?,https://stackoverflow.com/questions/952914/how-to-make-a-flat-list-out-of-list-of-lists,"
            I wonder whether there is a shortcut to make a simple list out of list of lists in Python.

I can do that in a for loop, but maybe there is some cool ""one-liner""? I tried it with reduce(), but I get ...
        ","python,list,multidimensional-array,flatten"
933,"565,813 views",How to remove items from a list while iterating?,https://stackoverflow.com/questions/1207406/how-to-remove-items-from-a-list-while-iterating,"
            I'm iterating over a list of tuples in Python, and am attempting to remove them if they meet certain criteria. 

for tup in somelist:
    if determine(tup):
         code_to_remove_tup
What should I ...
        ","python,iteration"
261,"903,486 views",How can I read inputs as numbers?,https://stackoverflow.com/questions/20449427/how-can-i-read-inputs-as-numbers,"
            Why are x and y strings instead of ints in the below code?

(Note: in Python 2.x use raw_input(). In Python 3.x use input(). raw_input() was renamed to input() in Python 3.x)

play = True

while play:
...
        ","python,python-3.x,python-2.7,input,int"
2394,"1,040,933 views",How do you split a list into evenly sized chunks?,https://stackoverflow.com/questions/312443/how-do-you-split-a-list-into-evenly-sized-chunks,"
            I have a list of arbitrary length, and I need to split it up into equal size chunks and operate on it. There are some obvious ways to do this, like keeping a counter and two lists, and when the second ...
        ","python,list,split,chunks"
2742,"1,445,119 views",How do I pass a variable by reference?,https://stackoverflow.com/questions/986006/how-do-i-pass-a-variable-by-reference,"
            The Python documentation seems unclear about whether parameters are passed by reference or value, and the following code produces the unchanged value 'Original'

class PassByReference:
    def ...
        ","python,reference,parameter-passing,pass-by-reference"
2509,"785,019 views",What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,https://stackoverflow.com/questions/36901/what-does-double-star-asterisk-and-star-asterisk-do-for-parameters,"
            In the following method definitions, what does the * and ** do for param2?

def foo(param1, *param2):
def bar(param1, **param2):
        ","python,syntax,parameter-passing,variadic-functions,argument-unpacking"
